Anio,Cantidad
1980,1869808
1981,1996743
1982,1965771
1983,1773140
1984,1795279
1985,1833239
1986,1519411
1987,1549203
1988,1677570
1989,1711583
1990,1977554
1991,1919557
1992,2257243
1993,2566043
1994,2016038
1995,2132325
1996,2067206
1997,2100283
1998,2541957
1999,2631169
2000,2511543
2001,2407362
2002,2321702
2003,2260123
2004,2556032
2005,2696220
2006,3079690
2007,3423719
2008,3922587
2009,4120535
2010,4166756
2011,4396912
2012,4615276
2013,4787187
2014,4737749
